artist_name,artist_count,artist_id
"Kendrick Lamar, Baby Keem",2,456
The Killers,1,457
"J Balvin, Nio Garcia, Bad Bunny",3,458
"Lady Gaga, Bradley Cooper",2,459
"Marshmello, Jonas Brothers",2,460
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,461
Polo G,1,462
"Eminem, Nate Dogg",2,463
Maroon 5,1,464
"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,465
"Gunna, Lil Baby",2,466
"Katy Perry, Alesso",2,467
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,468
"Tini, Maria Becerra",2,469
"Anuel Aa, Myke Towers, Jhay Cortez",3,470
"Karol G, Becky G",2,471
"Dr. Dre, Snoop Dogg",2,472
Dove Cameron,1,473
"Ed Sheeran, Taylor Swift",2,474
Charlie Puth,1,475
"Kanye West, Alicia Keys, Fivio Foreign",3,476
"Mahmood, Blanco",2,477
50 Cent,1,478
Yung Lean,1,479
"Labrinth, Zendaya",2,480
The Rare Occasions,1,481
"Intense, AP Dhillon, Gurinder Gill",3,482
"Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,483
"Dr. Dre, 2Pac, Roger",3,484
"Eminem, Dr. Dre",2,485
"Luude, Colin Hay",2,486
Ryan Castro,1,487
Kendrick Lamar,1,488
"Eminem, Dido",2,489
"GODZZ__-, Zakaria",2,490
Chase Atlantic,1,491
Em Beihold,1,492
"Mainstreet, Chefin",2,493
"Alvaro Diaz, Rauw Alejandro",2,494
"Nicki Minaj, Lil Baby",2,495
Future,1,496
Zï¿½ï¿½ Fe,1,497
Muni Long,1,498
Vundabar,1,499
V,1,500
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2,501
"Shawn Mendes, Camila Cabello",2,502
"Daddy Yankee, Bad Bunny",2,503
"Dua Lipa, Megan Thee Stallion",2,504
"Camila Cabello, Ed Sheeran",2,505
Cris Mj,1,506
Anitta,1,507
Dave,1,508
Tulus,1,509
"Mc Pedrinho, Pedro Sampaio",2,510
Zion & Lennox,1,511
"Residente, Bizarrap",2,512
Jack Harlow,1,513
Eden Muï¿½ï,1,514
Treasure,1,515
Christian Nodal,1,516
"Kevin Gates, Juicy J",2,517
"Tyga, Doja Cat",2,518
Queen,1,519
YEAT,1,520
C. Tangana,1,521
"The Chainsmokers, Coldplay",2,522
"The Chainsmokers, Halsey",2,523
NMIXX,1,524
"Gotye, Kimbra",2,525
"AnnenMayKantereit, Giant Rooks",2,526
Paulo Londra,1,527
Danny Ocean,1,528
Lil Tjay,1,529
Willow,1,530
"Feid, Alejo, Robi",3,531
Demi Lovato,1,532
"Camila Cabello, Willow",2,533
"Matuï¿½ï¿½, Wiu, ",3,534
"De La Ghetto, Duki, Quevedo",3,535
Lil Baby,1,536
"Ak4:20, Cris Mj, Pailita",3,537
Yahritza Y Su Esencia,1,538
"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,539
"Ed Sheeran, J Balvin",2,540
teto,1,541
"Blackbear, BoyWithUke",2,542
"Pharrell Williams, Nile Rodgers, Daft Punk",3,543
"Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,544
BIGBANG,1,545
"Kendrick Lamar, Blxst, Amanda Reifer",3,546
"Kendrick Lamar, Sampha",2,547
"Post Malone, Roddy Ricch",2,548
"Kendrick Lamar, Kodak Black",2,549
"Tony Dize, Bad Bunny",2,550
"Buscabulla, Bad Bunny",2,551
"Kendrick Lamar, Taylour Paige",2,552
"Kendrick Lamar, Sam Dew, Baby Keem",3,553
"Bad Bunny, The Marï¿½ï",2,554
"Kendrick Lamar, Ghostface Killah, Summer Walker",3,555
"Polima WestCoast, Pailita",2,556
"Bad Bunny, Tainy",2,557
Panic! At The Disco,1,558
"Kendrick Lamar, Tanna Leone",2,559
"PSY, Suga",2,560
Benson Boone,1,561
KALUSH,1,562
Luciano,1,563
"Bizarrap, Paulo Londra",2,564
"Shae Gill, Ali Sethi",2,565
"Kendrick Lamar, Beth Gibbons",2,566
"Sech, Mora",2,567
"MNEK, Jax Jones",2,568
"Ugly Dray, Tesla Jnr",2,569
"Justin Bieber, Don Toliver",2,570
Jessi,1,571
Chanel,1,572
Leah Kate,1,573
Sam Ryder,1,574
"HA SUNG WOON, Jimin",2,575
The Goo Goo Dolls,1,576
Kevin Kaarl,1,577
Suki Waterhouse,1,578
Lauren Spencer Smith,1,579
"Pharrell Williams, Tyler, The Creator, 21 Savage",4,580
"Calvin Harris, Dua Lipa, Young Thug",3,581
"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,582
"Kanye West, XXXTENTACION",2,583
Musical Youth,1,584
"Bizarrap, Villano Antillano",2,585
Halsey,1,586
"BYOR, Imanbek",2,587
"Sleepy hallow, 347aidan",2,588
Paloma Faith,1,589
"Marshmello, Khalid",2,590
"Ozuna, Tiago pzk",2,591
Childish Gambino,1,592
"David Guetta, Ella Henderson, Becky Hill",3,593
Duki,1,594
Sidhu Moose Wala,1,595
Keisya Levronka,1,596
Victor Cibrian,1,597
Metallica,1,598
"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,599
Yung Gravy,1,600
Lasso,1,601
Nayeon,1,602
"Schï¿½ï¿½rze, DJ R",2,603
j-hope,1,604
Guns N' Roses,1,605
Burna Boy,1,606
"Kanye West, Lil Durk, Cardi B",3,607
"L7nnon, DJ Biel do Furduncinho, Bianca",3,608
"Anitta, Tini, Becky G",3,609
Nessa Barrett,1,610
LF System,1,611
"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,612
Rels B,1,613
"Snoop Dogg, BTS, Benny Blanco",3,614
"Drake, DJ Khaled, Lil Baby",3,615
Luar La L,1,616
Ghost,1,617
Rex Orange County,1,618
Sofia Carson,1,619
"Grupo Marca Registrada, Junior H",2,620
"Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,621
"Peso Pluma, Luis R Conriquez",2,622
"Luis R Conriquez, La Adictiva",2,623
"David Guetta, Shakira, Black Eyed Peas",3,624
"Melody, Ana Castela, Dj Chris No Beat",3,625
"Elton John, Britney Spears",2,626
"Interplanetary Criminal, Eliza Rose",2,627
Armani White,1,628
Oxlade,1,629
PnB Rock,1,630
"Ovy On The Drums, Quevedo",2,631
Lil Yachty,1,632
"Marshmello, Juice WRLD",2,633
"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,634
Southstar,1,635
girl in red,1,636
"Rosa Walton, Hallie Coggins",2,637
"Luciano, Aitch, Bï¿½",3,638
"MC Ryan SP, Love Funk, Mc Paiva ZS",3,639
"Drake, Travis Scott, 21 Savage",3,640
"Ludwig Goransson, Foudeqush",2,641
Jin,1,642
Selena Gomez,1,643
"Feid, Paulo Londra",2,644
"Feid, Sech, Jhayco",3,645
