track_id,spotify_playlists,spotify_charts,apple_playlists,apple_charts,deezer_playlists,deezer_charts,shazam_charts,streams
490,2699,0,39,35,22,2,0,328207708
491,2482,20,27,77,22,2,0,608228647
492,2577,0,108,56,30,0,0,180577478
493,6821,34,83,58,128,7,0,809306935
494,714,0,0,9,2,0,0,49262961
495,3185,4,38,64,37,3,36,614555082
496,8612,0,120,30,52,0,1,245350949
497,4326,0,32,3,65,0,0,178660459
498,680,0,2,15,1,0,0,51641685
499,398,0,2,2,6,0,2,78139948
500,3328,13,39,50,57,3,1,322336177
501,7215,0,170,12,575,18,0,1007612429
502,4440,0,81,77,133,0,0,326792833
503,2881,6,13,89,34,0,3,391251368
504,2235,0,65,7,70,16,6,349585590
505,3711,0,49,88,62,0,0,339659802
506,12403,0,183,63,465,0,11,674772936
507,2785,0,95,89,44,0,0,432719968
508,14114,17,252,109,965,20,0,1309887447
509,1915,0,7,47,15,0,0,119238316
510,2297,0,11,29,14,0,0,116903579
511,4375,0,24,0,396,0,0,888046992
512,2800,0,18,77,61,0,1,200660871
513,2597,0,17,80,38,0,0,130655803
617,2597,0,17,80,38,0,0,130655803
514,15563,6,259,55,461,1,0,1887039593
515,1420,0,7,18,7,0,0,88103848
516,1292,0,3,18,14,0,0,101114984
517,15867,0,382,65,497,0,12,1575467011
518,1178,0,9,10,9,0,0,91656026
519,6672,0,125,36,150,0,0,1042568408
520,12329,0,275,19,738,0,0,1735441776
521,5669,2,74,0,262,14,0,726837877
522,811,0,1,8,6,0,0,53933526
523,1756,0,38,48,20,0,0,267758538
524,1014,0,1,17,11,0,0,74601456
525,7963,0,173,7,298,0,4,920797189
526,4771,0,68,18,75,0,1,539595276
527,8559,0,183,64,964,9,75,1367810478
528,3221,2,67,13,139,0,40,578207856
529,3423,26,61,65,53,6,0,775542072
530,2566,13,44,109,131,0,0,863625566
531,9151,6,240,107,268,0,5,656013912
532,8476,0,138,133,283,0,0,1056760045
533,7495,17,114,172,284,2,0,611994237
534,5257,6,85,43,134,0,0,1230855859
535,1795,0,34,23,118,0,0,582981380
536,12685,3,185,61,485,0,0,1858144199
537,648,1,14,3,81,0,0,240684449
538,4635,5,50,49,30,1,2,583687007
539,1184,0,1,5,6,0,0,63803529
540,4431,0,105,7,199,0,0,466214729
541,759,3,32,0,12,0,0,236940480
542,733,0,0,2,2,0,0,41924466
543,2795,0,45,0,107,0,0,225259194
544,2780,2,54,21,57,1,0,393230256
545,1950,0,56,8,104,0,10,287201015
546,3947,12,33,102,93,0,30,599770206
547,2551,0,52,15,35,0,1,342779426
548,5375,10,138,24,133,0,1,673801126
549,11975,8,188,75,268,6,16,1168642797
550,2696,0,42,2,57,0,0,540539717
551,4963,0,63,40,76,0,0,383550148
552,6734,0,47,14,90,0,1,530511203
553,715,0,0,1,2,0,0,37307967
554,3047,9,77,31,85,5,28,510876816
555,14140,0,231,52,612,6,0,1445941661
556,11215,21,189,166,525,9,25,1763363713
557,1678,12,20,4,15,1,3,374191487
558,2035,0,41,122,394,0,2,108809090
559,2780,2,86,76,59,0,16,436695353
560,4091,0,105,2,73,13,1,421040617
561,2868,0,43,15,116,0,0,501541661
562,3643,0,69,3,70,0,3,354065229
563,4779,6,180,135,223,0,5,1143647827
564,3517,0,54,28,43,0,0,311395144
565,5073,0,83,9,100,0,4,672656250
566,7545,4,117,39,141,0,46,1256880657
567,8528,5,239,163,583,0,0,1692897992
568,2979,0,44,0,159,0,0,245095641
569,7731,2,110,145,447,0,46,686734357
570,1057,0,17,5,21,0,0,261414174
571,3272,19,101,34,70,1,2,610045621
572,14417,0,237,123,569,0,10,1115880852
573,5199,0,45,43,45,0,3,594482982
574,6026,0,171,51,187,1,21,566954746
575,2877,0,16,0,54,0,0,0
576,4640,3,81,93,507,6,4,374706940
577,1150,0,20,38,12,0,0,184937148
578,768,0,1,1,3,0,0,31959571
579,925,0,24,47,74,0,0,167076418
580,3006,3,23,21,121,0,13,824420218
581,3098,0,111,5,182,1,0,363467642
582,9771,4,42,70,384,0,3,1127468248
583,807,0,3,0,5,0,0,60680939
584,521,1,17,89,11,0,0,247737946
585,12854,0,237,27,636,0,0,1699402402
586,802,0,13,27,8,0,0,154797871
587,731,0,14,14,24,0,4,198883004
588,788,0,13,0,32,1,0,124407432
589,3069,4,25,46,105,0,45,850608354
590,4651,0,24,6,105,0,0,376333030
591,4999,0,43,19,73,12,0,516784627
592,8327,24,205,130,625,0,25,1608045237
593,3297,3,25,3,52,0,1,506778838
594,35684,6,195,125,0,2,78,1472799873
595,3506,10,103,76,100,1,1,513643924
596,2999,0,60,17,154,0,22,261286503
597,3681,0,20,21,99,0,7,783706581
598,4846,10,54,16,259,0,13,422691058
599,14311,0,255,32,582,0,14,1062345656
600,8207,0,175,55,95,0,2,1252563873
601,4873,0,65,88,434,3,13,851070493
602,772,0,7,3,89,0,0,263894529
603,1150,0,20,99,44,0,2,345903614
604,5398,4,111,127,210,0,37,951637566
605,7370,0,92,127,0,0,62,956865266
606,6890,0,122,11,201,0,1,427486004
607,1966,0,4,2,50,0,0,156658366
608,2226,0,29,0,44,0,0,624515457
609,4204,0,39,45,250,0,0,777765388
610,1959,0,19,0,38,0,0,412795151
611,7191,0,146,18,478,0,7,1138474110
612,2012,0,101,12,38,0,0,355219175
613,1211,2,30,2,5,0,6,290228626
614,7109,2,5,0,862,0,0,1062956628
615,6638,0,167,19,318,0,1,1180094974
616,17354,8,92,122,0,0,55,1456081449
513,6392,0,174,73,344,0,0,432702334
617,6392,0,174,73,344,0,0,432702334
618,5481,0,144,30,86,0,0,489945871
619,2636,3,36,82,39,0,5,465959382
620,824,0,8,8,8,2,0,1223481149
621,24529,0,533,167,0,6,0,2864791672
622,14749,0,188,34,710,0,5,2288695111
623,8087,0,92,34,131,0,0,720825549
624,27221,0,308,118,0,2,77,2086124197
625,49991,9,265,121,0,4,160,1690192927
626,6646,0,107,47,584,1,0,991336132
627,5403,6,118,116,96,0,3,593917618
